"Responder ID","flag_straightline","flag_longstring","flag_speeding","flag_inconsistent","flag_duplicate","n_flags","qc_remove","longstring_max","irv"
"2_ABaOnuctZEcVsc96Hq-iYrTRfBB9A9BNv-WB0ATTbEXA6_g25Z4MWA7l3rB5vZ9Csg",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,19,0.688027419648038
"2_ABaOnuegQdyy5RLJkcZaMFHYIG4hVj1wgM5wHyLmXg1-20QdZda5LAkZhmttvh9D-w",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,14,0.536620240502198
"2_ABaOnufIg5iKBXebJh-TkpKFmOx6DwuX55kxdbxR-IAEKUcNRCJesvNJru3nZg2X5w",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,10,0.897162293839974
"2_ABaOnucxEDVCNl1L2x5hzcgQDCGw6zug99ffJAoaHOWUTUZNkeX3SlsqMOJIA8igsg",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,6,0.794909697831898
"2_ABaOnuc9WSHDnhytzcbIP_DVu6oPajOCP74aMDtauKdrY6jJqKg0dApPoLNYPPm1Ew",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,5,0.767811292101309
"2_ABaOnuf_VDEBAkk4JitGOtVngfvbp4Xq5tTN9Uhpk5qtTmACU5XCPt6K3HEfqGEKRQ",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,12,0.488215635715457
"2_ABaOnucWSPMCPT6SqMw4fskrD5US8NrS0kJ5a6ekQcqu27YPR3Xuqug3J6T0KyXDCA",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,13,0.307203297018
"2_ABaOnudKRM7IjBeVPN_FmB3wbsWNPK9hlkSvU1gEpx9vWXvQivRFDfAbUr32capK_g",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,11,0.889714025168746
"2_ABaOnue5qCmDXb49GinuhSE-cxwx_yg2mc-os7DdFa5NVFp-GNR33xgiyky8l3cYMw",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,8,0.628280862437543
"2_ABaOnufXtaN050RerUEcsEGezg_qgXEc_0Dx1NWwCSUwodMWLNHup-A4SywzK1E4DQ",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,16,0.533511010936118
"2_ABaOnucgp3Xo3xPYBHJ2froKgrKNZsLaYkiQcHWPw_t2p43IFbbRMeJJBd3CBb5j9A",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,21,0.283120627606264
"2_ABaOnucrz_snzSlsGIdvyILNvz8ThCPx5BATwydbOWlfhryvIr48XrFPd2wOCdoceA",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,10,0.466675308882038
"2_ABaOnudGR8o1qGRolISHF5_MZBlJ50DAzJOlkGJLgiph1gNztZG5pndRsoUXmu89Yw",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,25,0.446807591244225
"2_ABaOnucZG5LGxu5ksGSej0vZqn6skhalMyqzLAJCL-yxYsDp_vw5oJ92sdDF2jSPjg",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,8,0.621260744197396
"2_ABaOnudTHuHOFpZsAaRB97EixMtgKd2paGfbHbst8acxAgXLbB67F8KYEdOA5CQ_ig",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,8,0.886307756824012
"2_ABaOnud_KTt6NuyQPIbBIh-bejolHqnTwkSqjgNQbC9x3sJmpvMCFoLqJjwGN3C5lA",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,19,0.42459190043108
"2_ABaOnuctCswvYisuPI4CLYnVeIyyf3C1AhYpsuogRu459ZZmJp7F6RyCbAuZxt1_ng",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,9,0.552451501787244
"2_ABaOnueZwKBBz1Mnavw6UNBhT3bQU89TgcyAx-Rvl1-Vjzueuhr2-Fpz-KxF-t7MSg",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,12,0.707106781186548
